Weights,PortfolioReturn,PortfolioVariance,SharpRatio
"[1.0, 0.0, 0.0]",-1.001056730521064,5.708224583970514,-0.4189943475088558
"[0.95, 0.05, 0.0]",-1.0009187039713257,5.152354573442786,-0.44095668767903384
"[0.95, 0.0, 0.05]",-0.9621608376204177,5.666580780513884,-0.4041914606167451
"[0.9, 0.1, 0.0]",-1.0007806774215873,4.624996712746722,-0.4653537279796452
"[0.9, 0.05, 0.05]",-0.9620228110706794,5.138072676424085,-0.4244096484360902
"[0.9, 0.0, 0.1]",-0.9232649447197715,6.650549566564677,-0.35801199601416744
"[0.85, 0.15, 0.0]",-1.000642650871849,4.126151001882319,-0.4926136609449519
"[0.85, 0.1, 0.05]",-0.9618847845209411,4.6380767221659465,-0.44663637575112713
"[0.85, 0.05, 0.1]",-0.923126918170033,6.149403368912801,-0.37225875827631255
"[0.85, 0.0, 0.15]",-0.8843690518191252,8.660130942122883,-0.3005185653362761
"[0.8, 0.2, 0.0]",-1.0005046243221107,3.6558174408495816,-0.5232712211409923
"[0.8, 0.15, 0.05]",-0.9617467579712028,4.166592917739471,-0.4711619335019941
"[0.8, 0.1, 0.1]",-0.9229888916202948,5.676769321092591,-0.38738772103548175
"[0.8, 0.05, 0.15]",-0.8842310252693869,8.186346650908938,-0.30904426136694346
"[0.8, 0.0, 0.2]",-0.8454731589184791,11.695324907188514,-0.2472257362830533
"[0.75, 0.25, 0.0]",-1.0003665977723721,3.213996029648505,-0.5580029748178145
"[0.75, 0.2, 0.05]",-0.9616087314214644,3.723621263144659,-0.4983284100096131
"[0.75, 0.15, 0.1]",-0.9228508650705564,5.232647423104042,-0.40343241243443306
"[0.75, 0.1, 0.15]",-0.8840929987196485,7.741074509526652,-0.31775861033553177
"[0.75, 0.05, 0.2]",-0.8453351323687406,11.248902522412493,-0.25204253675633226
"[0.75, 0.0, 0.25]",-0.8065772660178328,15.756131461761559,-0.20319881881178115
"[0.7, 0.3, 0.0]",-1.000228571222634,2.8006867682790912,-0.5976776090893118
"[0.7, 0.25, 0.05]",-0.961470704871726,3.3091617583815096,-0.5285390232617656
"[0.7, 0.2, 0.1]",-0.922712838520818,4.817037674947156,-0.4204133921106959
"[0.7, 0.15, 0.15]",-0.8839549721699101,7.32431451797603,-0.32662291495022516
"[0.7, 0.1, 0.2]",-0.8451971058190023,10.830992287468133,-0.2568170647414152
"[0.7, 0.05, 0.25]",-0.8064392394680944,15.337070983423462,-0.20592090468837534
"[0.7, 0.0, 0.3]",-0.7676813731171864,20.84255060584202,-0.16815336815656395
"[0.65, 0.35, 0.0]",-1.0000905446728956,2.4158896567413413,-0.6434292117795578
"[0.65, 0.3, 0.05]",-0.9613326783219878,2.923214403450024,-0.5622680038598488
"[0.65, 0.25, 0.1]",-0.9225748119710798,4.429940076621934,-0.43833148578350434
"[0.65, 0.2, 0.15]",-0.8838169456201719,6.936066676257072,-0.3355874371364041
"[0.65, 0.15, 0.2]",-0.845059079269264,10.44159420235544,-0.261519252761604
"[0.65, 0.1, 0.25]",-0.8063012129183562,14.946522654917032,-0.20855818118580086
"[0.65, 0.05, 0.3]",-0.7675433465674482,20.450852033941853,-0.1697255435205716
"[0.65, 0.0, 0.35]",-0.7287854802165403,26.954582339429905,-0.1403729439143472
"[0.6, 0.4, 0.0]",-0.9999525181231572,2.0596046950352545,-0.6967667885532958
"[0.6, 0.35, 0.05]",-0.9611946517722493,2.5657791983502003,-0.6000697107013429
"[0.6, 0.3, 0.1]",-0.9224367854213413,4.071354628128375,-0.4571588666916072
"[0.6, 0.25, 0.15]",-0.8836789190704335,6.5763309843697755,-0.3445899945169084
"[0.6, 0.2, 0.2]",-0.8449210527195256,10.080708267074407,-0.2661157679277474
"[0.6, 0.15, 0.25]",-0.8061631863686176,14.584486476242263,-0.21109472991277312
"[0.6, 0.1, 0.3]",-0.7674053200177098,20.087665611873348,-0.17122219903027508
"[0.6, 0.05, 0.35]",-0.7286474536668018,26.590245673967665,-0.14130459238373075
"[0.6, 0.0, 0.4]",-0.689889587315894,34.09222666252521,-0.11815494611950524
"[0.55, 0.45, 0.0]",-0.999814491573419,1.7318318831608301,-0.7597427454934562
"[0.55, 0.4, 0.05]",-0.9610566252225111,2.23685614308204,-0.6425840621391237
"[0.55, 0.35, 0.1]",-0.9222987588716031,3.741281329466478,-0.4768276607782305
"[0.55, 0.3, 0.15]",-0.8835408925206952,6.2451074423141435,-0.35355476706818856
"[0.55, 0.25, 0.2]",-0.8447830261697874,9.748334481625038,-0.270570203405294
"[0.55, 0.2, 0.25]",-0.8060251598188795,14.250962447399159,-0.21351407069132833
"[0.55, 0.15, 0.3]",-0.7672672934679715,19.75299133963651,-0.17263555651545479
"[0.55, 0.1, 0.35]",-0.7285094271170637,26.254421158337088,-0.14217850790430314
"[0.55, 0.05, 0.4]",-0.6897515607661557,33.7552519035009,-0.11871948806759898
"[0.55, 0.0, 0.45]",-0.6509936944152478,42.25548357512793,-0.10014637733765501
"[0.5, 0.5, 0.0]",-0.9996764650236805,1.4325712211180688,-0.8352209064153507
"[0.5, 0.45, 0.05]",-0.9609185986727726,1.9364452376455425,-0.6905322867741761
"[0.5, 0.4, 0.1]",-0.9221607323218647,3.439720180636244,-0.49721596841821664
"[0.5, 0.35, 0.15]",-0.8834028659709567,5.942396050090173,-0.3623915038130151
"[0.5, 0.3, 0.2]",-0.8446449996200489,9.444472846007333,-0.2748434264351184
"[0.5, 0.25, 0.25]",-0.8058871332691411,13.945950568387719,-0.21579936437638178
"[0.5, 0.2, 0.3]",-0.767129266918233,19.446829217231333,-0.17395789821446933
"[0.5, 0.15, 0.35]",-0.7283714005673252,25.94710879253817,-0.14299089963107883
"[0.5, 0.1, 0.4]",-0.6896135342164174,33.446789294308246,-0.11924180985735201
"[0.5, 0.05, 0.45]",-0.6508556678655093,41.94587072254155,-0.10049398871225425
"[0.5, 0.0, 0.5]",-0.6120978015146015,51.44435307723807,-0.08533986755457194
"[0.45, 0.55, 0.0]",-0.9995384384739422,1.1618227089069704,-0.927319878509697
"[0.45, 0.5, 0.05]",-0.9607805721230344,1.664546482040708,-0.7446912466525408
"[0.45, 0.45, 0.1]",-0.9220227057721263,3.1666711816376734,-0.5181316611385712
"[0.45, 0.4, 0.15]",-0.8832648394212185,5.668196807697867,-0.3709953634592741
"[0.45, 0.35, 0.2]",-0.8445069730703106,9.16912336022129,-0.27889410330884323
"[0.45, 0.3, 0.25]",-0.8057491067194027,13.66945083920794,-0.21793365322165134
"[0.45, 0.25, 0.3]",-0.7669912403684948,19.169179244657816,-0.17518166301645852
"[0.45, 0.2, 0.35]",-0.7282333740175869,25.66830857657092,-0.14373811740111506
"[0.45, 0.15, 0.4]",-0.689475507666679,33.16683883494726,-0.11972002615870368
"[0.45, 0.1, 0.45]",-0.650717641315771,41.66477001978682,-0.1008110379773727
"[0.45, 0.05, 0.5]",-0.6119597749648631,51.16210213108961,-0.08555564821666961
"[0.45, 0.0, 0.55]",-0.5732019086139553,61.65883516885563,-0.07299783331991996
"[0.4, 0.6, 0.0]",-0.9994004119242038,0.9195863465275352,-1.0421812773590813
"[0.4, 0.55, 0.05]",-0.960642545573296,1.4211598762675364,-0.8058242790223622
"[0.4, 0.5, 0.1]",-0.9218846792223879,2.922134332470766,-0.539295143139007
"[0.4, 0.45, 0.15]",-0.8831268128714801,5.422509715137223,-0.3792476525725331
"[0.4, 0.4, 0.2]",-0.8443689465205723,8.92228602426691,-0.28267941384383066
"[0.4, 0.35, 0.25]",-0.8056110801696643,13.421463259859822,-0.2199001356795015
"[0.4, 0.3, 0.3]",-0.7668532138187564,18.920041421915965,-0.1762995486989045
"[0.4, 0.25, 0.35]",-0.7280953474678485,25.41802051043533,-0.14441669205467605
"[0.4, 0.2, 0.4]",-0.6893374811169406,32.91540052541794,-0.12015236423793638
"[0.4, 0.15, 0.45]",-0.6505796147660327,41.412181466863764,-0.10109656433718617
"[0.4, 0.1, 0.5]",-0.6118217484151248,50.90836333477281,-0.08574925257940652
"[0.4, 0.05, 0.55]",-0.5730638820642169,61.4039461291451,-0.07313156990547948
"[0.4, 0.0, 0.6]",-0.5343060157133089,72.8989298499806,-0.0625791251446511
"[0.35, 0.65, 0.0]",-0.9992623853744655,0.7058621339797626,-1.189377168515951
"[0.35, 0.6, 0.05]",-0.9605045190235576,1.2062854203260276,-0.8745293172156329
"[0.35, 0.55, 0.1]",-0.9217466526726495,2.7061096331355206,-0.5603235494359635
"[0.35, 0.5, 0.15]",-0.8829887863217417,5.205334772408241,-0.38701772471140067
"[0.35, 0.45, 0.2]",-0.8442309199708339,8.703960838144193,-0.28615595620990475
"[0.35, 0.4, 0.25]",-0.8054730536199259,13.201987830343368,-0.2216824701465313
"[0.35, 0.35, 0.3]",-0.766715187269018,18.699415749005773,-0.17730461799939606
"[0.35, 0.3, 0.35]",-0.7279573209181102,25.196244594131404,-0.1450233757767592
"[0.35, 0.25, 0.4]",-0.6891994545672022,32.69247436572027,-0.12053718064467671
"[0.35, 0.2, 0.45]",-0.6504415882162943,41.18810506377236,-0.10134968323111525
"[0.35, 0.15, 0.5]",-0.6116837218653864,50.683136688287675,-0.08592018052189447
"[0.35, 0.1, 0.55]",-0.5729258555144785,61.17756923926623,-0.07324910343418876
"[0.35, 0.05, 0.6]",-0.5341679891635706,72.67140271670799,-0.0626608219112196
"[0.35, 0.0, 0.65]",-0.4954101228126627,85.16463712061301,-0.053682808213549774
"[0.3, 0.7, 0.0]",-0.9991243588247272,0.5206500712636531,-1.384670950841876
"[0.3, 0.65, 0.05]",-0.9603664924738192,1.019923114216182,-0.9509403636511927
"[0.3, 0.6, 0.1]",-0.9216086261229112,2.518597083631939,-0.5807205342831264
"[0.3, 0.55, 0.15]",-0.8828507597720034,5.016671979510924,-0.39416625628345925
"[0.3, 0.5, 0.2]",-0.8440928934210955,8.514147801853138,-0.2892808276523302
"[0.3, 0.45, 0.25]",-0.8053350270701876,13.011024550658577,-0.223265099702949
"[0.3, 0.4, 0.3]",-0.7665771607192797,18.507302225927248,-0.17819040596121527
"[0.3, 0.35, 0.35]",-0.7278192943683718,25.00298082765914,-0.14555518163409328
"[0.3, 0.3, 0.4]",-0.6890614280174638,32.49806035585427,-0.12087297723312557
"[0.3, 0.25, 0.45]",-0.6503035616665559,40.99254081051263,-0.10156959336704043
"[0.3, 0.2, 0.5]",-0.6115456953156481,50.486422191634205,-0.08606798116186239
"[0.3, 0.15, 0.55]",-0.5727878289647401,60.979704499219025,-0.07335016978151375
"[0.3, 0.1, 0.6]",-0.5340299626138322,72.47238773326704,-0.06273058526166043
"[0.3, 0.05, 0.65]",-0.49527209626292434,84.96447189377832,-0.053731031654252547
"[0.3, 0.0, 0.7]",-0.4565142299120164,98.45595698075282,-0.04600799638561205
"[0.25, 0.75, 0.0]",-0.9989863322749888,0.36395015837920663,-1.6559170966353671
"[0.25, 0.7, 0.05]",-0.9602284659240808,0.8620729579379992,-1.0341953135165498
"[0.25, 0.65, 0.1]",-0.921470599573173,2.35959668396002,-0.5998775300098343
"[0.25, 0.6, 0.15]",-0.8827127332222651,4.856521336445268,-0.40055000438901905
"[0.25, 0.55, 0.2]",-0.8439548668713571,8.352846915393746,-0.29201284865487
"[0.25, 0.5, 0.25]",-0.8051970005204492,12.848573420805451,-0.2246335875437226
"[0.25, 0.45, 0.3]",-0.7664391341695413,18.34370085268038,-0.17895102566894108
"[0.25, 0.4, 0.35]",-0.7276812678186334,24.838229211018543,-0.14600942143952544
"[0.25, 0.35, 0.4]",-0.6889234014677256,32.33215849581994,-0.12115841622992786
"[0.25, 0.3, 0.45]",-0.6501655351168176,40.82548870708455,-0.10175558325426773
"[0.25, 0.25, 0.5]",-0.6114076687659097,50.3182198448124,-0.08619225589265542
"[0.25, 0.2, 0.55]",-0.5726498024150019,60.81035190900349,-0.07343453629845963
"[0.25, 0.15, 0.6]",-0.5338919360640939,72.30188489965776,-0.06278827497859663
"[0.25, 0.1, 0.65]",-0.49513406971318596,84.79281881677531,-0.05377040087061404
"[0.25, 0.05, 0.7]",-0.45637620336227813,98.28315366035605,-0.0460345020045474
"[0.25, 0.0, 0.75]",-0.4176183370113702,112.77288943040004,-0.03932576735636215
"[0.2, 0.8, 0.0]",-0.9988483057252504,0.23576239532642304,-2.0571325195755454
"[0.2, 0.75, 0.05]",-0.9600904393743425,0.7327349514914795,-1.1216017830557807
"[0.2, 0.7, 0.1]",-0.9213325730234346,2.2291084341197642,-0.6170932955927878
"[0.2, 0.65, 0.15]",-0.8825747066725267,4.724882843211276,-0.40602797286170056
"[0.2, 0.6, 0.2]",-0.8438168403216187,8.220058178766019,-0.29431387910111023
"[0.2, 0.55, 0.25]",-0.805058973970711,12.714634440783986,-0.22577495079810914
"[0.2, 0.5, 0.3]",-0.766301107619803,18.20861162926518,-0.17958126927349108
"[0.2, 0.45, 0.35]",-0.727543241268895,24.701989744209605,-0.14638374106081145
"[0.2, 0.4, 0.4]",-0.6887853749179873,32.19476878561726,-0.12139233406587488
"[0.2, 0.35, 0.45]",-0.6500275085670792,40.686948753488146,-0.10190703713600456
"[0.2, 0.3, 0.5]",-0.6112696422161714,50.17852964782225,-0.08629266111953417
"[0.2, 0.25, 0.55]",-0.5725117758652635,60.6695114686196,-0.07350200315002414
"[0.2, 0.2, 0.6]",-0.5337539095143555,72.15989421588014,-0.06283377103308677
"[0.2, 0.15, 0.65]",-0.4949960431634477,84.64967788960395,-0.053800841980630495
"[0.2, 0.1, 0.7]",-0.45623817681253975,98.13886248979097,-0.04605439835671684
