Date,Open,High,Low,Close,Adj Close,Volume
2021-04-17,0.012315,0.022020,0.010323,0.010323,0.010323,0
2021-04-18,0.010316,0.010380,0.003857,0.007869,0.007869,0
2021-04-19,0.007870,0.007928,0.006656,0.006692,0.006692,0
2021-04-20,0.006687,0.006847,0.006414,0.006770,0.006770,0
2021-04-21,0.006777,0.006811,0.005438,0.005929,0.005929,0
2021-04-22,0.005930,0.006649,0.005798,0.006216,0.006216,0
2021-04-23,0.006211,0.006666,0.005859,0.006642,0.006642,0
2021-04-24,0.006642,0.007141,0.006347,0.007009,0.007009,0
2021-04-25,0.007007,0.007060,0.005925,0.006370,0.006370,0
2021-04-26,0.006371,0.006528,0.006011,0.006481,0.006481,0
2021-04-27,0.006483,0.008786,0.006398,0.008247,0.008247,0
2021-04-28,0.008255,0.008434,0.007556,0.008221,0.008221,0
2021-04-29,0.008224,0.010935,0.008035,0.009108,0.009108,0
2021-04-30,0.009104,0.009843,0.009032,0.009821,0.009821,0
2021-05-01,0.009818,0.009936,0.008670,0.008674,0.008674,0
2021-05-02,0.008674,0.008685,0.007860,0.007927,0.007927,0
2021-05-03,0.007928,0.008256,0.007358,0.008003,0.008003,0
2021-05-04,0.008008,0.008010,0.006383,0.006394,0.006394,0
2021-05-05,0.006400,0.008073,0.006356,0.007468,0.007468,0
2021-05-06,0.007465,0.007587,0.007200,0.007327,0.007327,0
2021-05-07,0.007332,0.007619,0.007192,0.007455,0.007455,0
2021-05-08,0.007456,0.008815,0.007407,0.008815,0.008815,0
2021-05-09,0.008821,0.008882,0.007907,0.008151,0.008151,0
2021-05-10,0.008153,0.008780,0.008040,0.008374,0.008374,0
2021-05-11,0.008379,0.008531,0.008191,0.008507,0.008507,0
2021-05-12,0.008506,0.008691,0.007487,0.007487,0.007487,0
2021-05-13,0.007373,0.009753,0.007047,0.008951,0.008951,0
2021-05-14,0.008949,0.009168,0.006915,0.007980,0.007980,0
2021-05-15,0.007981,0.008276,0.007596,0.007955,0.007955,0
2021-05-16,0.007949,0.008452,0.007275,0.007437,0.007437,0
2021-05-17,0.007433,0.007460,0.005074,0.006072,0.006072,0
2021-05-18,0.006095,0.006414,0.005932,0.006019,0.006019,0
2021-05-19,0.006007,0.006862,0.004909,0.006317,0.006317,0
2021-05-20,0.006290,0.007209,0.005959,0.006501,0.006501,0
2021-05-21,0.006525,0.007513,0.006051,0.006713,0.006713,0
2021-05-22,0.006715,0.006960,0.005955,0.006002,0.006002,0
2021-05-23,0.006006,0.006126,0.004429,0.005224,0.005224,0
2021-05-24,0.005216,0.005588,0.002660,0.003865,0.003865,0
2021-05-25,0.003871,0.004257,0.003778,0.004214,0.004214,0
2021-05-26,0.004224,0.004486,0.004170,0.004325,0.004325,0
2021-05-27,0.004322,0.004846,0.004136,0.004612,0.004612,0
2021-05-28,0.004612,0.004663,0.004173,0.004280,0.004280,0
2021-05-29,0.004284,0.004468,0.004043,0.004150,0.004150,0
2021-05-30,0.004154,0.006445,0.004022,0.006419,0.006419,0
2021-05-31,0.006422,0.006744,0.005883,0.006717,0.006717,0
2021-06-01,0.006720,0.006821,0.006442,0.006600,0.006600,0
2021-06-02,0.006603,0.006808,0.006398,0.006769,0.006769,0
2021-06-03,0.006764,0.007106,0.006704,0.007051,0.007051,0
2021-06-04,0.007058,0.007064,0.006429,0.006644,0.006644,0
2021-06-05,0.006641,0.006825,0.006282,0.006399,0.006399,0
2021-06-06,0.006399,0.006559,0.006002,0.006095,0.006095,0
2021-06-07,0.006097,0.006803,0.006027,0.006052,0.006052,0
2021-06-08,0.006041,0.006123,0.005601,0.006026,0.006026,0
2021-06-09,0.006025,0.006381,0.005765,0.006340,0.006340,0
2021-06-10,0.006349,0.006517,0.006094,0.006238,0.006238,0
2021-06-11,0.006239,0.006770,0.006128,0.006709,0.006709,0
2021-06-12,0.006720,0.006734,0.006251,0.006392,0.006392,0
2021-06-13,0.006399,0.006760,0.006270,0.006646,0.006646,0
2021-06-14,0.006647,0.006966,0.006589,0.006799,0.006799,1
2021-06-15,0.006863,0.007020,0.006734,0.006872,0.006872,1
